word|type|role
Rexburg|noun|risk
district|noun|risk
north|noun|risk
force|noun|risk
failure|noun|risk
zone|noun|risk
wall|noun|risk
River|noun|risk
Snake|noun|risk
Plain|noun|risk
flood|noun|risk
region|noun|risk
water|noun|risk
part|noun|risk
river|noun|risk
Teton|noun|risk
area|noun|risk
kilometer|noun|risk
canyon|noun|risk
mile|noun|risk
estimate|noun|risk
damage|noun|risk
floodwater|noun|risk
meter|noun|risk
Wilford|noun|risk
construction|noun|risk
%|noun|risk
structure|noun|risk
Hibbard|noun|risk
quantity|noun|risk
terminus|noun|risk
community|noun|risk
Roberts|noun|risk
side|noun|risk
account|noun|risk
result|noun|risk
Sugar|noun|risk
Salem|noun|risk
famine|noun|risk
epidemic|noun|risk
City|noun|risk
thousand|noun|risk
topsoil|noun|risk
death|noun|risk
time|noun|risk
woman|noun|risk
reservoir|noun|risk
hall|noun|risk
turbine|noun|risk
level|noun|risk
room|noun|risk
log|noun|risk
storage|noun|risk
dozen|noun|risk
yard|noun|risk
habitat|noun|risk
tributary|noun|risk
Fork|noun|risk
Menan|noun|risk
Buttes|noun|risk
Henrys|noun|risk
route|noun|risk
Falls|noun|risk
American|noun|risk
Dam|noun|risk
engineer|noun|risk
discharge|noun|risk
ten|noun|risk
stream|noun|risk
sediment|noun|risk
Fort|noun|risk
bottom|noun|risk
Hall|noun|risk
incident|noun|risk
cause|noun|risk
ceiling|noun|risk
vibration|noun|risk
impact|noun|risk
dam|noun|risk
August|noun|risk
slick|noun|risk
gasoline|noun|risk
power|noun|risk
station|noun|risk
point|noun|risk
